Date,Open,High,Low,Close,Volume
11/16/2022 8:30,0.928,0.95,0.9265,0.937,7478.1494
11/16/2022 9:00,0.937,0.9611,0.937,0.9491,8926.871
11/16/2022 9:30,0.9494,0.9508,0.9396,0.9432,9352.269
11/16/2022 10:00,0.9447,0.9516,0.9397,0.9443,6531.374
11/16/2022 10:30,0.9444,0.9524,0.9404,0.9423,6968.5415
11/16/2022 11:00,0.9415,0.946,0.9403,0.9441,5958.6987
11/16/2022 11:30,0.9442,0.9495,0.9411,0.945,7004.721
11/16/2022 12:00,0.9451,0.9482,0.9357,0.9361,5938.7217
11/16/2022 12:30,0.9363,0.9402,0.9358,0.9379,5985.0254
11/16/2022 13:00,0.9376,0.9423,0.9365,0.9418,5885.7915
11/16/2022 13:30,0.9416,0.9428,0.9378,0.9417,6037.579
11/16/2022 14:00,0.9416,0.9474,0.9322,0.9329,6396.0776
11/16/2022 14:30,0.9329,0.9405,0.9289,0.939,6362.9585
11/16/2022 15:00,0.9389,0.9431,0.9346,0.9351,6158.4043
11/16/2022 15:30,0.9352,0.9373,0.9293,0.9298,9060.536
11/16/2022 16:00,0.9297,0.9297,0.9137,0.9144,7269.0747
11/16/2022 16:30,0.9149,0.9175,0.9034,0.9175,8128.917
11/16/2022 17:00,0.9166,0.9185,0.9059,0.9068,15655.222
11/16/2022 17:30,0.9067,0.9125,0.9048,0.9124,6538.1978
11/16/2022 18:00,0.9124,0.9167,0.9084,0.9097,7397.448
11/16/2022 18:30,0.9102,0.9129,0.9016,0.9106,6530.067
11/16/2022 19:00,0.9105,0.9163,0.9082,0.9153,6721.865
11/16/2022 19:30,0.9155,0.9161,0.9035,0.9069,5919.975
11/16/2022 20:00,0.9067,0.9093,0.8944,0.8974,7819.9624
11/16/2022 20:30,0.8979,0.9089,0.8979,0.9068,6171.3726
11/16/2022 21:00,0.9047,0.9067,0.8959,0.9059,6394.7534
11/16/2022 21:30,0.9056,0.911,0.8944,0.8948,7349.1035
11/16/2022 22:00,0.895,0.8968,0.8736,0.8862,11310.036
11/16/2022 22:30,0.8863,0.8917,0.8836,0.8895,8535.482
11/16/2022 23:00,0.8892,0.8947,0.8843,0.8914,6486.838
11/16/2022 23:30,0.8914,0.8953,0.8777,0.8825,8406.737
11/17/2022 0:00,0.8822,0.8922,0.8721,0.8888,7128.501
11/17/2022 0:30,0.889,0.901,0.8873,0.8969,6293.7725
11/17/2022 1:00,0.8969,0.9019,0.8965,0.8989,6613.558
11/17/2022 1:30,0.8988,0.9039,0.8974,0.8989,5853.221
11/17/2022 2:00,0.8986,0.8999,0.8938,0.8968,5983.671
11/17/2022 2:30,0.8969,0.8984,0.8933,0.8964,5921.6016
11/17/2022 3:00,0.8966,0.8969,0.8906,0.8959,6063.8706
11/17/2022 3:30,0.8958,0.8979,0.8915,0.8939,6168.8135
11/17/2022 4:00,0.8936,0.8965,0.8886,0.8916,5943.0854
